User castorr91 | Points added: 20 | Raw Data: @badges=broadcaster/1,subscriber/0;color=#B002AD;display-name=castorr91;emotes=;id=5802313f-c3ec-4878-918a-707990cbcdd4;mod=0;room-id=30393896;subscriber=1;tmi-sent-ts=1520912281369;turbo=0;user-id=30393896;user-type= :castorr91!castorr91@castorr91.tmi.twitch.tv PRIVMSG #castorr91 :test6
User DearCatcher1 | Points added: 20 | Raw Data: @badges=;color=#FF69B4;display-name=DearCatcher1;emotes=30259:0-6;id=70c87a5f-a0d2-40b2-a391-ce92ce71c2c6;login=dearcatcher1;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@DearCatcher1\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521340164123;turbo=0;user-id=189734490;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :HeyGuys
User Depax92 | Points added: 20 | Raw Data: @badges=premium/1;color=#2E8B57;display-name=Depax92;emotes=81274:0-5;id=4e407f7e-14fc-4755-84c5-a213c61709e8;login=depax92;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@Depax92\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521340237534;turbo=0;user-id=142563890;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :VoHiYo
User cheekysqu1d | Points added: 20 | Raw Data: @badges=;color=;display-name=cheekysqu1d;emotes=81274:0-5;id=c2002f1a-b7d4-495b-9746-f43ed18e866c;login=cheekysqu1d;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@cheekysqu1d\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521340330152;turbo=0;user-id=202991353;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :VoHiYo
User getl0ki | Points added: 20 | Raw Data: @badges=premium/1;color=;display-name=getl0ki;emotes=30259:0-6;id=3fa7ef52-5ecd-4316-b955-57464b836e9a;login=getl0ki;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@getl0ki\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521340363511;turbo=0;user-id=135442921;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :HeyGuys
User opdun | Points added: 20 | Raw Data: @badges=;color=;display-name=opdun;emotes=64138:0-8;id=dd3856b4-215a-4d23-bbfc-c4b3e808dcbd;login=opdun;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@opdun\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521340373487;turbo=0;user-id=19751646;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :SeemsGood
User Zugor_91 | Points added: 20 | Raw Data: @badges=premium/1;color=#8A2BE2;display-name=Zugor_91;emotes=81274:0-5;id=93111439-891d-40f6-8422-8393eecc2127;login=zugor_91;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@Zugor_91\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521340411625;turbo=0;user-id=192766581;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :VoHiYo
User Gloryflare | Points added: 20 | Raw Data: @badges=;color=#008000;display-name=Gloryflare;emotes=81274:0-5;id=be9b9e24-d630-4045-8311-bf995ae1fa52;login=gloryflare;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@Gloryflare\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521340432084;turbo=0;user-id=72070182;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :VoHiYo
User xilezatl | Points added: 20 | Raw Data: @badges=premium/1;color=#8A2BE2;display-name=xilezatl;emotes=30259:0-6;id=49b831ae-1751-40f1-b22f-4a12cb650fd3;login=xilezatl;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@xilezatl\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521340503592;turbo=0;user-id=39378179;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :HeyGuys
User Scatasuna | Points added: 20 | Raw Data: @badges=premium/1;color=#00FF7F;display-name=Scatasuna;emotes=30259:0-6;id=4b8aceca-7795-49c9-a5dd-4fc50371bc66;login=scatasuna;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@Scatasuna\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521340567831;turbo=0;user-id=52728863;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :HeyGuys
User krazy23man | Points added: 20 | Raw Data: @badges=premium/1;color=#008000;display-name=krazy23man;emotes=30259:0-6;id=60f73bc4-5a12-42fa-af40-5df11903f7da;login=krazy23man;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@krazy23man\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521340753249;turbo=0;user-id=126519560;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :HeyGuys
User dongerginer | Points added: 20 | Raw Data: @badges=;color=#8A2BE2;display-name=dongerginer;emotes=81274:0-5;id=68cbbc3c-cad1-4016-a525-377e662d7726;login=dongerginer;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@dongerginer\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521340771271;turbo=0;user-id=49134004;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :VoHiYo
User ToothlessXP | Points added: 20 | Raw Data: @badges=;color=#1E7EAE;display-name=ToothlessXP;emotes=64138:0-8;id=86739ade-1552-438e-a7f0-0eb4c9bcf6a6;login=toothlessxp;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@ToothlessXP\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521340791205;turbo=0;user-id=88155851;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :SeemsGood
User ElectricSpice | Points added: 20 | Raw Data: @badges=;color=;display-name=ElectricSpice;emotes=30259:0-6;id=6dc9d3c4-be23-4fc9-a11b-e87d1a911f76;login=electricspice;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@ElectricSpice\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521340827667;turbo=0;user-id=51060134;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :HeyGuys
User risk__management | Points added: 20 | Raw Data: @badges=premium/1;color=;display-name=risk__management;emotes=64138:0-8;id=c020effa-95f0-4a6f-bcf2-6970449e091d;login=risk__management;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@risk__management\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521340882805;turbo=0;user-id=125391768;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :SeemsGood
User DirtyToes2142 | Points added: 20 | Raw Data: @badges=premium/1;color=#191CB3;display-name=DirtyToes2142;emotes=64138:0-8;id=f4e0e5b9-3023-4461-9848-3d2d3094d608;login=dirtytoes2142;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@DirtyToes2142\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521340903577;turbo=0;user-id=70624205;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :SeemsGood
User duster410 | Points added: 20 | Raw Data: @badges=premium/1;color=;display-name=duster410;emotes=64138:0-8;id=b77999ba-125a-42f7-9785-4ca4c15d1636;login=duster410;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@duster410\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521341050997;turbo=0;user-id=27492378;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :SeemsGood
User HiImKels | Points added: 20 | Raw Data: @badges=premium/1;color=#00FF7F;display-name=HiImKels;emotes=30259:0-6;id=2afdda99-5523-41fd-b8d3-3caca76482c7;login=hiimkels;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@HiImKels\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521341063344;turbo=0;user-id=160168949;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :HeyGuys
User ConfusedEchidna | Points added: 20 | Raw Data: @badges=;color=#9ACD32;display-name=ConfusedEchidna;emotes=81274:0-5;id=f435d9c0-b57f-4d01-9220-f6950795455a;login=confusedechidna;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@ConfusedEchidna\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521341094336;turbo=0;user-id=98190622;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :VoHiYo
User lionblaze3015 | Points added: 20 | Raw Data: @badges=;color=#FF69B4;display-name=lionblaze3015;emotes=81274:0-5;id=9b733729-9a41-4f44-a22e-5540329e5b8f;login=lionblaze3015;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@lionblaze3015\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521341143580;turbo=0;user-id=88252039;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :VoHiYo
User noobgabi | Points added: 20 | Raw Data: @badges=;color=;display-name=noobgabi;emotes=30259:0-6;id=39cf3981-a0ee-44dd-b59d-32fcff5d310b;login=noobgabi;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@noobgabi\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521341158915;turbo=0;user-id=157723789;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :HeyGuys
User NoSana | Points added: 20 | Raw Data: @badges=;color=#1E90FF;display-name=NoSana;emotes=81274:0-5;id=5e72503a-1bae-4bf9-ac69-ab82c8ed017c;login=nosana;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@NoSana\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521341193771;turbo=0;user-id=94922272;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :VoHiYo
User erikthexpredator555 | Points added: 20 | Raw Data: @badges=;color=#FF0000;display-name=erikthexpredator555;emotes=81274:0-5;id=54ba7dc6-2865-4469-b08c-9415d2d9d0d2;login=erikthexpredator555;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@erikthexpredator555\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521341238610;turbo=0;user-id=79037320;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :VoHiYo
User Papajohn8 | Points added: 20 | Raw Data: @badges=premium/1;color=#FF0000;display-name=Papajohn8;emotes=64138:0-8;id=146e73a7-067d-458e-89f8-0f8c2a53c6d5;login=papajohn8;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@Papajohn8\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521341243359;turbo=0;user-id=40119286;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :SeemsGood
User ITaskeI | Points added: 20 | Raw Data: @badges=;color=;display-name=ITaskeI;emotes=64138:0-8;id=bf846ee1-b10d-4e73-a4ad-bbcba6e3025a;login=itaskei;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@ITaskeI\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521341249363;turbo=0;user-id=134480556;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :SeemsGood
User FirstPotatoAlive | Points added: 20 | Raw Data: @badges=;color=;display-name=FirstPotatoAlive;emotes=81274:0-5;id=578c4a02-cda5-4fcb-8c58-f7372560dac0;login=firstpotatoalive;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@FirstPotatoAlive\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521341341785;turbo=0;user-id=192314627;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :VoHiYo
User ribellino7 | Points added: 20 | Raw Data: @badges=;color=#FF69B4;display-name=ribellino7;emotes=64138:0-8;id=631b180f-8485-4d8a-9559-4906e2a3a5f3;login=ribellino7;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@ribellino7\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521341409859;turbo=0;user-id=80824558;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :SeemsGood
User Areyouaraused | Points added: 20 | Raw Data: @badges=turbo/1;color=#0B2DC1;display-name=Areyouaraused;emotes=30259:0-6;id=54daa232-a06d-408b-aae1-6f6fd1417c8a;login=areyouaraused;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@Areyouaraused\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521341465500;turbo=1;user-id=93824045;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :HeyGuys
User Joobyplspls | Points added: 20 | Raw Data: @badges=;color=;display-name=Joobyplspls;emotes=30259:0-6;id=5c96656b-85c0-4b17-a932-21d7bbd55810;login=joobyplspls;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@Joobyplspls\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521341471344;turbo=0;user-id=84688196;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :HeyGuys
User sosiesendraaier | Points added: 20 | Raw Data: @badges=;color=;display-name=sosiesendraaier;emotes=64138:0-8;id=23b74e7f-5984-42a6-a9b0-8247c1b81616;login=sosiesendraaier;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@sosiesendraaier\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521341522738;turbo=0;user-id=205736529;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :SeemsGood
User 21stCenturySchizoidMen | Points added: 20 | Raw Data: @badges=;color=;display-name=21stCenturySchizoidMen;emotes=30259:0-6;id=33e99395-d7c0-46f1-ae0e-683b185062b9;login=21stcenturyschizoidmen;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@21stCenturySchizoidMen\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521341567623;turbo=0;user-id=97345223;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :HeyGuys
User trulyignitin210 | Points added: 20 | Raw Data: @badges=premium/1;color=#05C766;display-name=trulyignitin210;emotes=64138:0-8;id=f866d440-ac7d-4f05-aaf8-818b08728b92;login=trulyignitin210;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@trulyignitin210\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521341576000;turbo=0;user-id=137333657;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :SeemsGood
User ieatbabylegs | Points added: 20 | Raw Data: @badges=;color=;display-name=ieatbabylegs;emotes=81274:0-5;id=27bfecb0-5770-416b-b273-2e08057ce13a;login=ieatbabylegs;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@ieatbabylegs\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521341649669;turbo=0;user-id=106148064;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :VoHiYo
User Klr1377 | Points added: 20 | Raw Data: @badges=bits/1;color=#2E8B57;display-name=Klr1377;emotes=30259:0-6;id=24ac5954-cf4d-4943-a264-dfe4243f8d95;login=klr1377;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@Klr1377\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521341734510;turbo=0;user-id=57624395;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :HeyGuys
User RAwith_Dplays | Points added: 20 | Raw Data: @badges=;color=#FF69B4;display-name=RAwith_Dplays;emotes=81274:0-5;id=1af027f9-37a2-48f1-bc50-6fd6807809fa;login=rawith_dplays;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=146333452;subscriber=0;system-msg=@RAwith_Dplays\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521341738773;turbo=0;user-id=177785700;user-type= :tmi.twitch.tv USERNOTICE #thatviolinchick :VoHiYo
User e626 | Points added: 20 | Raw Data: @badges=;color=#00FF7F;display-name=e626;emotes=81274:0-5;id=671fba53-28e8-4166-bccd-59ffbfebe36b;login=e626;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=105022773;subscriber=0;system-msg=@e626\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521371536736;turbo=0;user-id=116102918;user-type= :tmi.twitch.tv USERNOTICE #lunalyrik :VoHiYo
User killr_cr0w | Points added: 20 | Raw Data: @badges=;color=;display-name=killr_cr0w;emotes=30259:0-6;id=2ee820f7-30c9-46ea-b1c6-c6bc0b9c71f8;login=killr_cr0w;mod=0;msg-id=ritual;msg-param-ritual-name=new_chatter;room-id=105022773;subscriber=0;system-msg=@killr_cr0w\sis\snew\shere.\sSay\shello!;tmi-sent-ts=1521372654604;turbo=0;user-id=147403985;user-type= :tmi.twitch.tv USERNOTICE #lunalyrik :HeyGuys
